14-02-2018 23:17:30.692,0.0743;
14-02-2018 23:17:31.204,0.0742;
14-02-2018 23:17:31.692,0.0743;
14-02-2018 23:17:32.193,0.0742;
14-02-2018 23:17:32.696,0.074;
14-02-2018 23:17:33.192,0.074;
14-02-2018 23:17:33.693,0.074;
14-02-2018 23:17:34.195,0.074;
14-02-2018 23:17:34.703,0.074;
14-02-2018 23:17:35.193,0.0739;
14-02-2018 23:17:35.692,0.0738;
14-02-2018 23:17:36.193,0.0736;
14-02-2018 23:17:36.692,0.0737;
14-02-2018 23:17:37.191,0.0736;
14-02-2018 23:17:37.692,0.0736;
14-02-2018 23:17:38.192,0.0735;
14-02-2018 23:17:38.695,0.0734;
14-02-2018 23:17:39.192,0.0733;
14-02-2018 23:17:39.694,0.0731;
14-02-2018 23:17:40.192,0.0732;
14-02-2018 23:17:41.196,0.0729;
14-02-2018 23:17:41.703,0.0728;
14-02-2018 23:17:42.199,0.0726;
14-02-2018 23:17:42.697,0.0726;
14-02-2018 23:17:43.193,0.0726;
14-02-2018 23:17:43.707,0.0723;
14-02-2018 23:17:44.191,0.0723;
14-02-2018 23:17:44.693,0.0722;
14-02-2018 23:17:45.192,0.072;
14-02-2018 23:17:45.692,0.0719;
14-02-2018 23:17:46.205,0.0718;
14-02-2018 23:17:46.692,0.0718;
14-02-2018 23:17:47.193,0.0717;
14-02-2018 23:17:47.692,0.0717;
14-02-2018 23:17:48.193,0.0717;
14-02-2018 23:17:48.693,0.0715;
14-02-2018 23:17:49.197,0.0713;
14-02-2018 23:17:49.692,0.0712;
14-02-2018 23:17:50.192,0.0711;
14-02-2018 23:17:50.695,0.0711;
14-02-2018 23:17:51.195,0.0711;
14-02-2018 23:17:51.692,0.0709;
14-02-2018 23:17:52.192,0.0711;
14-02-2018 23:17:52.694,0.0709;
14-02-2018 23:17:53.192,0.0707;
14-02-2018 23:17:53.765,0.0705;
14-02-2018 23:17:54.191,0.0704;
14-02-2018 23:17:54.692,0.0704;
14-02-2018 23:17:55.193,0.0703;
14-02-2018 23:17:55.697,0.0703;
14-02-2018 23:17:56.193,0.0702;
14-02-2018 23:17:57.193,0.07;
14-02-2018 23:17:57.692,0.0699;
14-02-2018 23:17:58.200,0.0699;
14-02-2018 23:17:58.693,0.0699;
14-02-2018 23:17:59.192,0.0698;
14-02-2018 23:17:59.697,0.0696;
14-02-2018 23:18:00.192,0.0696;
14-02-2018 23:18:00.694,0.0696;
14-02-2018 23:18:01.692,0.0696;
14-02-2018 23:18:02.196,0.0695;
14-02-2018 23:18:02.698,0.0694;
14-02-2018 23:18:03.199,0.0693;
14-02-2018 23:18:03.842,0.0692;
14-02-2018 23:18:04.198,0.0691;
14-02-2018 23:18:05.196,0.0689;
14-02-2018 23:18:05.700,0.0688;
14-02-2018 23:18:06.194,0.0689;
14-02-2018 23:18:06.705,0.0688;
14-02-2018 23:18:07.203,0.0688;
14-02-2018 23:18:07.694,0.0688;
14-02-2018 23:18:08.201,0.0687;
14-02-2018 23:18:08.693,0.0686;
14-02-2018 23:18:09.195,0.0685;
14-02-2018 23:18:09.692,0.0684;
14-02-2018 23:18:10.197,0.0684;
14-02-2018 23:18:10.694,0.0683;
14-02-2018 23:18:11.193,0.0682;
14-02-2018 23:18:11.692,0.0682;
14-02-2018 23:18:12.192,0.0681;
14-02-2018 23:18:12.694,0.0679;
14-02-2018 23:18:13.191,0.0679;
14-02-2018 23:18:14.192,0.0678;
14-02-2018 23:18:14.691,0.0678;
14-02-2018 23:18:15.192,0.0677;
14-02-2018 23:18:15.691,0.0676;
